sr_no,id,original_language,original_title,popularity,release_date,vote_average,vote_count,genre,overview,revenue,runtime,tagline,english_text
7197,18148,ja,東京物語,15.703,11/3/1953,8.3,699,['Drama'],"The elderly Shukishi and his wife, Tomi, take the long journey from their small seaside village to visit their adult children in Tokyo. Their elder son, Koichi, a doctor, and their daughter, Shige, a hairdresser, don't have much time to spend with their aged parents, and so it falls to Noriko, the widow of their younger son who was killed in the war, to keep her in-laws company.",$0.00,137,"As long as life goes on, relationships between parents and children will bring boundless joy and endless grief.",Tokyo Story
7238,349176,ja,暗殺教室,15.449,3/21/2015,7.3,130,"['Action', 'Adventure', 'Comedy', 'Science Fiction']","A mysterious creature destroys 70% of the moon. The creature then warns that if he is not destroyed by March of next year, Earth will be next. The creature also demands that he becomes the homeroom teacher for 3rd grade E class at Kunugigaoka Junior High School. The government is powerless to say no.  The creature then becomes the homeroom teacher of 3rd grade E class which consists of failed students including Nagisa Shiota (Ryosuke Yamada). The creature is called Teacher Koro.  Meanwhile, the government requests that the students try to kill Teacher Koro even though he possesses super powers. The government offers a 10 billion yen reward for whomever successfully kills him. The students are confused by the situation, but decide to kill Teacher Koro.  When their class begins with Teacher Koro, the students finds themselves having a good time with their new teacher.",$0.00,110,,Assassination Classroom
7240,19877,ja,北斗の拳,13.132,3/8/1986,7.1,98,"['Action', 'Animation', 'Drama', 'Science Fiction', 'Thriller']","After a nuclear holocaust tears the world apart, mankind is forced to the harshness of not only the oppression of others who are much more powerful, but the dead earth which seems to be getting worse with every passing moment. But a savior has risen from the ashes, a man who will defeat those who would torment the weak and make the world a livable place once more. A man named Kenshiro...","$18,000,000.00",110,"Power without perception is spiritually useless, and therefore of no true value.",Hokuto fist
7267,22611,ja,ニモ,8.935,7/15/1989,6.8,117,"['Adventure', 'Animation', 'Family', 'Fantasy']","A little boy whose dreams transcend reality is sucked into his own fantasy, which is everything he has dreamed of, until he unleashes an old secret that may not only destroy this perfect dream world but reality itself.",$0.00,95,"Take Off On A Wonderful Adventure With ""Little Nemo""",Nemo
7326,414770,ja,アンチポルノ,11.675,1/28/2017,6.9,259,['Drama'],"Young artist Kyoko wreaks havoc on everyone that she encounters, her worst being reserved for simpering older assistant Noriko, whom she routinely humiliates-or at least that's what seems to be happening, before an abrupt about-face.",$0.00,78,Freedom? What's that?,Anti -porno
7527,1059,ja,隠し砦の三悪人,10.623,12/28/1958,8.0,388,"['Adventure', 'Drama', 'Action', 'Comedy']","Japanese peasants Matashichi and Tahei try and fail to make a profit from a tribal war. They find a man and woman whom they believe are simple tribe members hiding in a fortress. Although the peasants don't know that Rokurota is a general and Yuki is a princess, the peasants agree to accompany the pair to safety in return for gold. Along the way, the general must prove his expertise in battle while also hiding his identity.",$0.00,139,,Three evils of hidden fort
7535,26945,ja,劇場版カードキャプターさくら,11.121,8/21/1999,7.7,103,"['Fantasy', 'Animation', 'Adventure']","Sakura Kinomoto, a Card Captor, wins a game of chance and is awarded a trip to Hong Kong, along with her best friend Tomoyo and her rival, Syaoran Li. It turns out that the ancient rival of Clow Reed, the creator of the mysterious and powerful Clow Cards, summoned them, and she's out for revenge. A battle ensues, and secrets are revealed about Clow Reed's shady past and Sakura's connection to him.",$0.00,81,,Theatrical version card capor Sakura
7666,17962,ja,ワンダフルライフ,10.342,9/11/1998,7.2,129,"['Fantasy', 'Drama']","On a cold Monday morning, a group of counselors clock in at an old-fashioned social services office. Their task is to interview the recently deceased, record their personal details, then, over the course of the week, assist them in choosing a single memory to keep for eternity.",$0.00,118,What is the one memory you would take with you?,Wonderful Life
7744,426285,ja,鋼の錬金術師,15.089,12/1/2017,5.3,403,"['Action', 'Fantasy', 'Science Fiction']",Two alchemist brothers go on a quest for the Philosopher's Stone after an attempt to revive their dead mother goes horribly wrong.,$0.00,135,,Full Metal Alchemist
7754,776305,ja,竜とそばかすの姫,9.936,7/16/2021,8.0,35,"['Animation', 'Drama', 'Science Fiction']","Suzu is a 17-year-old high school student living in a rural town with her father. Wounded by the loss of her mother at a young age, Suzu one day discovers the massive online world ""U"" and dives into this alternate reality as her avatar, Belle. Before long, all of U's eyes are fixed on Belle, when, suddenly, a mysterious dragon-like figure appears before her.","$54,195,448.00",121,You are no longer alone,Dragon and the Freckled Princess
7811,880998,ja,幾多の北,7.268,11/6/2021,2.0,1,['Animation'],North is everywhere solitary. Here is all North. This is a record of the people I met in these Norths.,$0.00,64,,Fast many north
7813,11830,ja,タンポポ,8.817,11/23/1985,7.9,200,['Comedy'],"A pair of truck drivers happen onto a decrepit roadside fast food stop selling ramen noodles. The widowed owner, Tampopo, begs them to help her turn her establishment into a paragon of the ""art of noodle soup making"".",$0.00,115,The first Japanese Noodle Western.,Dandelion
7828,13964,ja,片腕マシンガール,10.066,1/2/2008,6.1,137,"['Action', 'Adventure', 'Comedy', 'Crime', 'Horror', 'Thriller']","The life of a young, Japanese schoolgirl is destroyed when her family is killed by a Ninja-Yakuza family. Her hand cut off, she replaces it with various machines-of-death, and seeks revenge",$0.00,96,It's Payback Time!,One arm machine girl
7865,76826,ja,火垂るの墓,10.95,11/1/2005,7.9,63,['Drama'],"Hisako loses her home in Tokyo to Allied bombing. With her husband fighting somewhere in Asia, she and her two children evacuate to a suburb of Kobe, where they share a house with Hisako's cousin, Kyoko. Kobe is bombed and Kyoko is killed. Hisako is forced to take care of Kyoko's two children in addition to her own, but there is not enough food for everyone.",$0.00,148,,Fire grave
7990,3782,ja,生きる,10.782,10/9/1952,8.4,721,['Drama'],"Kanji Watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. Learning he has cancer, he starts to look for the meaning of his life.","$55,240.00",143,A big story of a little man which will grip your soul ...,live
8107,16804,ja,おくりびと,11.763,9/13/2008,7.9,555,['Drama'],"Daigo, a cellist, is laid off from his orchestra and moves with his wife back to his small hometown where the living is cheaper. Thinking he’s applying for a job at a travel agency he finds he’s being interviewed for work with departures of a more permanent nature – as an undertaker’s assistant.","$69,932,387.00",130,The gift of last memories,Bite
8304,18881,ja,カイト,8.362,2/25/1998,6.8,71,"['Animation', 'Crime', 'Action', 'Thriller']","Sawa may seem innocent and naive, but don’t be fooled. She is a cold-blooded killer, and if you’re on the wrong side of the law, you may be her next target. Not content to just watch as the imperfect justice system lets more and more criminals go loose every day, a detective decides to train the young Sawa to be his instrument of justice.",$0.00,50,,kite
8369,11878,ja,用心棒,12.221,4/25/1961,8.2,953,"['Drama', 'Thriller']","A nameless ronin, or samurai with no master, enters a small village in feudal Japan where two rival businessmen are struggling for control of the local gambling trade. Taking the name Sanjuro Kuwabatake, the ronin convinces both silk merchant Tazaemon and sake merchant Tokuemon to hire him as a personal bodyguard, then artfully sets in motion a full-scale gang war between the two ambitious and unscrupulous men.",$0.00,110,Seven Samurai if it Was Just One Samurai!,Bouncer
8523,246,ja,座頭市,9.947,9/6/2003,7.3,608,"['Adventure', 'Drama', 'Action']","Zatoichi is a 19th century blind nomad who makes his living as a gambler and masseur. However, behind this humble facade, he is a master swordsman gifted with a lightning-fast draw and breathtaking precision. While wandering, Zatoichi discovers a remote mountain village at the mercy of Ginzo, a ruthless gang-leader. Ginzo disposes of anyone who gets in his way, especially after hiring the mighty samurai ronin, Hattori, as a bodyguard. After a raucous night of gambling in town, Zatoichi encounters a pair of geishas--as dangerous as they are beautiful--who've come to avenge their parents' murder. As the paths of these and other colorful characters intertwine, Ginzo's henchmen are soon after Zatoichi. With his legendary cane sword at his side, the stage is set for a riveting showdown.","$34,196,922.00",111,His sword made him a hero... his courage made him a legend.,Zato -shi
8527,33320,ja,千年女優,13.447,9/14/2001,7.9,490,"['Animation', 'Drama', 'Romance']","Documentary filmmaker Genya Tachibana has tracked down the legendary actress Chiyoko Fujiwara, who mysteriously vanished at the height of her career. When he presents her with a key she had lost and thought was gone forever, the filmmaker could not have imagined that it would not only unlock the long-held secrets of Chiyoko’s life... but also his own.","$37,641.00",87,,Millennium actress
8732,3780,ja,赤ひげ,8.168,4/3/1965,8.2,209,['Drama'],"Aspiring to an easy job as personal physician to a wealthy family, Noboru Yasumoto is disappointed when his first post after medical school takes him to a small country clinic under the gruff doctor Red Beard. Yasumoto rebels in numerous ways, but Red Beard proves a wise and patient teacher. He gradually introduces his student to the unglamorous side of the profession, ultimately assigning him to care for a prostitute rescued from a local brothel.",$0.00,185,"What is the key to life - power, prestige or peace?",Red beard
8738,423590,ja,ママレード・ボーイ,10.276,3/4/1995,5.8,12,"['Animation', 'Romance']","Miki's lying in bed in the school's nursery after being hit in the face by a ball, supposedly asleep when Yuu comes in. Yuu asks her if she is asleep but she does not answer, so he looks at her as she sleeps. Then he kisses her and leaves. As soon as he has left, Miki jumps up, surprised and wonders what he is up to, since they have just met... or have they?",$0.00,23,,Mamored Boy
8776,452213,ja,未亡人変態地獄,8.911,4/26/1991,0.0,0,[],"A married couple enjoy engaging in S&M sexual behavior, and the wife, Yuri, asserts, ""The ultimate SM play is death."" After her husband dies, supposedly accidentally, Yuri is left alone, grieving and self-destructive. Her mental state deteriorates as she watches and masturbates joylessly to the home-made SM videos she made with her husband.",$0.00,61,,Widow metamorphosis hell
8913,54186,ja,告白,7.895,6/4/2010,7.7,631,"['Drama', 'Thriller', 'Mystery']",A psychological thriller of a grieving mother turned cold-blooded avenger with a twisty master plan to pay back those who were responsible for her daughter's death.,$0.00,107,Her pupils murdered her daughter. She will have her revenge.,Confession
8935,137773,ja,戦慄のミラージュポケモン,11.872,10/13/2006,6.8,41,"['Animation', 'Action', 'Adventure']","The story of ""The Mastermind of Mirage Pokémon"" centers on a Pokémon scientist who has developed a new Mirage System to resurrect extinct Pokémon. Satoshi, Haruka, Masato, and Takeshi show up at the Mirage Mansion for a demonstration of this new machine, only to witness the kidnapping of the scientist! Then a mysterious stranger appears and claims that the machine can actually create Pokémon without weaknesses. It’s up to Satoshi and company to preserve the natural balance of the Pokémon world.",$0.00,45,,Horror Mirage Pokemon
9038,14696,ja,雨月物語,8.628,3/26/1953,8.1,368,"['Fantasy', 'Drama', 'Mystery']","In 16th century Japan, peasants Genjuro and Tobei sell their earthenware pots to a group of soldiers in a nearby village, in defiance of a local sage's warning against seeking to profit from warfare. Genjuro's pursuit of both riches and the mysterious Lady Wakasa, as well as Tobei's desire to become a samurai, run the risk of destroying both themselves and their wives, Miyagi and Ohama.",$0.00,96,,Rained moon story
9096,14537,ja,切腹,12.369,9/15/1962,8.4,541,"['Action', 'Drama', 'History']",An unusual request for ritual suicide on a feudal lord's property leads to the unwinding of a greater mystery that challenges the clan's integrity.,$0.00,135,The world has never understood why the Japanese prefer death to dishonor! Winner of Prix Special du Jury at Cannes 1963 provides the answer!!,Sacrifice
9150,15916,ja,天使のたまご,9.861,12/22/1985,7.8,256,"['Animation', 'Drama', 'Fantasy', 'Mystery', 'Science Fiction']","A mysterious young girl wanders a desolate, otherworldly landscape, carrying a large egg.",$0.00,71,Under a sky where clouds make sound as they move,Angel egg
9168,1678,ja,ゴジラ,13.059,11/3/1954,7.6,608,"['Thriller', 'Horror', 'Science Fiction']","Japan is thrown into a panic after several ships are sunk near Odo Island. An expedition to the island led by Dr. Yemani soon discover something far more devastating than imagined in the form of a 50 meter tall monster whom the natives call Gojira. Now the monster begins a rampage that threatens to destroy not only Japan, but the rest of the world as well.","$2,250,000.00",96,"Godzilla, a weapon of science, a great battle of wonder and terror!",Godzilla
9276,95853,ja,うさぎドロップ,10.14,8/20/2011,7.0,43,"['Drama', 'Comedy']","Daikichi learns that his recently deceased grandfather has an illegitimate daughter with an unknown mother. The girl's name is Rin and she is just 6 years old. Everybody in Daikichi's family looks at the girl as an embarrassment and wants no part of her. Daikichi, annoyed by his family's attitude, decides to raise Rin by himself. Even though Daikichi himself has no experience raising a child and is still single. The movie is based on Yumi Unita's popular manga series ""Usagi Drop"".",$0.00,114,,Rabbit drop
9327,349498,ja,ビリギャル,9.065,5/1/2015,7.4,74,"['Comedy', 'Drama']","A high school girl, Sayaka Kudō was the bottom of the class. After a year, she improved her deviation value from 30 to 70, then passed Keio University that is considered one of the most difficult to enter in Japan.",$0.00,117,,Billigal
9336,3777,ja,蜘蛛巣城,10.839,1/15/1957,7.9,542,"['Drama', 'History']","Returning to their lord's castle, samurai warriors Washizu and Miki are waylaid by a spirit who predicts their futures. When the first part of the spirit's prophecy comes true, Washizu's scheming wife, Asaji, presses him to speed up the rest of the spirit's prophecy by murdering his lord and usurping his place. Director Akira Kurosawa's resetting of William Shakespeare's ""Macbeth"" in feudal Japan is one of his most acclaimed films.",$0.00,108,"From the creator of ""Rashomon"" and ""Ikiru"".",Spider weeping castle
9421,16672,ja,砂の女,10.83,2/15/1964,8.3,257,"['Drama', 'Thriller']",An entomologist suffers extreme psychological and sexual torture after being taken captive by the residents of a poor seaside village.,$0.00,147,Haunting. Erotic. Unforgettable.,Sand woman
9429,680041,ja,君は彼方,6.971,11/27/2020,3.7,3,"['Animation', 'Drama', 'Fantasy']","Mio is a girl in high school who slacks off. She and her childhood friend Arata and best friend Madoka spend their after-school days in Ikebukuro hanging out. One day, Madoka tells Mio that she loves Arata, and Mio realizes that she loves Arata, too. But she’s scared of their relationship falling apart and lies, saying she’ll help them. Mio deliberately acts coldly to Arata, and they get into a fight. She decides to work things out with Arata, but gets into a car accident on her way to meet him. She wakes up in a mysterious world. It's the Ikebukuro she knows, but something’s different...",$0.00,95,,You are there
9483,553166,ja,極道記者,6.821,7/19/1993,0.0,0,[],"More than his indie debut Skinless Night, this was the film that launched Mochizuki on his distinctive trajectory through the crime and yakuza genres. Matsuzaki (Eiji Okuda) is a racing tipster for a sports paper, a lowlife who spends half his time drunk, hangs out with yakuza and other riff-raff and complicates his sex life by succumbing to advances from his girlfriend's sister. As played by Okuda, he's also a figure of considerable hangdog charm. Less a plot-based movie than a guide to the several forms of high stakes gambling in Japan, this centres on his attempt to help a friend swindled in a bent mahjong game.  Hakuryu appears (memorably) as an inscrutable yakuza in a black leather jacket. The film's success led to two sequels.",$0.00,100,,Very
9550,631997,ja,愛なき森で叫べ,11.587,10/11/2019,6.6,111,"['Drama', 'Crime', 'Horror', 'Thriller']",A con man and a would-be filmmaking crew force themselves into the lives of two grief-scarred young women. But nothing is as it seems.,$0.00,151,,Shout in the love of the love
9601,9694,ja,着信アリ,9.058,11/3/2003,6.2,286,"['Horror', 'Thriller']","People mysteriously start receiving voicemail messages from their future selves, in the form of the sound of them reacting to their own violent deaths, along with the exact date and time of their future death, listed on the message log. The plot thickens as the surviving characters pursue the answers to this mystery which could save their lives.",$0.00,112,Death cannot be put on hold...,One Missed Call
9606,47002,ja,ラブレター,8.127,3/25/1995,7.7,94,"['Drama', 'Romance']",When exchanging letters two women discover new things about a deceased man they used to know.,$0.00,117,,Love letter
9620,4291,ja,菊次郎の夏,9.806,6/5/1999,7.6,311,"['Comedy', 'Drama', 'Family']","Brash, loudmouthed and opportunistic, Kikujiro is the unlikely companion for Masao who is determined to see the mother he has never met. The two begin a series of adventures which soon turns out to be a whimsical journey of laughter and tears with a wide array of surprises and unique characters along the way.",$0.00,117,,Kikujiro's summer
9640,3107,ja,怪獣総進撃,8.304,8/1/1968,6.8,156,"['Action', 'Science Fiction']","At the turn of the century, all of the Earth's monsters have been rounded up and kept safely on Monsterland. Chaos erupts when a race of she-aliens known as the Kilaaks unleash the monsters across the world.","$1,568,760.00",89,"The mysterious Kilaaks appear! Shaking the universe, the great battle of 11 monsters!",Monster Total Attack
9642,13398,ja,東京ゴッドファーザーズ,14.491,12/29/2003,7.9,660,"['Animation', 'Drama']","During a Christmas Eve in Tokyo, three homeless people, middle-aged alcoholic Gin, former drag queen Hana, and dependent runaway girl Miyuki, discover an abandoned newborn while looking through the garbage. With only a handful of clues to the baby's identity, the three misfits search the city to find its parents.",$0.00,93,Meet the ultimate dysfunctional family.,Tokyo Godfathers
9676,45284,ja,アウトレイジ,9.052,5/17/2010,7.0,289,"['Action', 'Crime', 'Drama']","The story begins with Sekiuchi, boss of the Sannokai, a huge organized crime syndicate controlling the entire Kanto region, issuing a stern warning to his lieutenant Kato and right-hand man Ikemoto, head of the Ikemoto-gumi. Kato orders Ikemoto to bring the unassociated Murase-gumi gang in line, and he immediately passes the task on to his subordinate Otomo, who runs his own crew. The tricky jobs that no-one wants to do always end up in Otomo’s lap.","$8,428,636.00",109,,Outrage
9770,239367,ja,ジョバンニの島,10.113,2/22/2014,7.4,69,"['Animation', 'Drama', 'History']","In the aftermath of the most devastating conflict mankind had ever experienced, the tiny island of Shikotan became part of the Sakhalin Oblast... and on the unhealed border in this remote corner of the world, friendship among children from two different countries timidly blossomed, striving to overcome language barriers and the waves of history. Inspired by true events.",$0.00,102,,Giovanni Island
9822,11075,ja,オーディション,10.533,10/6/1999,7.1,1013,"['Mystery', 'Drama', 'Horror', 'Thriller']","Seven years after the death of his wife, company executive Aoyama is invited to sit in on auditions for an actress. Leafing through the resumés in advance, his eye is caught by Yamazaki Asami, a striking young woman with ballet training.",$0.00,115,She always gets a part,audition
9829,2517,ja,誰も知らない,12.283,8/7/2004,8.1,302,['Drama'],"In a small Tokyo apartment, twelve-year-old Akira must care for his younger siblings after their mother leaves them and shows no sign of returning.",$0.00,141,,No one knows
9863,499191,ja,娼年,13.611,4/6/2018,6.3,19,['Drama'],"Ryo Morinaka is a university student and works part-time at a bar. He is bored with his daily life and exists in a state of torpor. One day, his friend Shinya Tajima brings the owner of a host bar over to the place where Ryo Morinaka works. Shizuka Mido is the owner of the host bar. Soon, Ryo Morinaka begins to work for Shizuka Mido at the members only host bar. He feels embarrassment initially, but he fulfills the desires of women and develops a sense of purpose.",$0.00,119,,Prostitute
9874,36095,ja,キュア,10.028,11/6/1997,7.4,220,"['Crime', 'Thriller', 'Horror', 'Mystery']","A wave of gruesome murders is sweeping Tokyo. The only connection is a bloody X carved into the neck of each of the victims. In each case, the murderer is found near the victim and remembers nothing of the crime. Detective Takabe and psychologist Sakuma are called in to figure out the connection, but their investigation goes nowhere...","$99,000.00",111,Madness. Terror. Murder.,Cure
9920,12493,ja,天国と地獄,11.523,3/1/1963,8.4,501,"['Crime', 'Drama', 'Mystery', 'Thriller']",An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom.,$0.00,142,"From Akira Kurosawa, director of ""Yojimbo"" and ""Sanjuro"" comes a tense, taut film of a modern ""perfect crime"" with more excitement than even Hitchcock could create.",Heaven and Hell
9937,30959,ja,怪談,12.522,12/29/1964,7.8,239,"['Fantasy', 'Horror', 'Drama']","Taking its title from an archaic Japanese word meaning ""ghost story,"" this anthology adapts four folk tales. A penniless samurai marries for money with tragic results. A man stranded in a blizzard is saved by Yuki the Snow Maiden, but his rescue comes at a cost. Blind musician Hoichi is forced to perform for an audience of ghosts. An author relates the story of a samurai who sees another warrior's reflection in his teacup.",$0.00,183,"Bizarre, unearthly, terrifying - a nation's legend, an author's imagination, a director's creation manifest in the superlative - Kwaidan",Ghost story
9950,5889,ja,あずみ,11.271,5/10/2003,6.9,233,"['Adventure', 'Drama', 'Action', 'Thriller', 'Romance']","In war-torn Japan, the Tokugawa Shogun, desperate to restore peace to his people, orders the assassination of the hostile warlords. A beautiful young woman is raised from birth with nine other orphans, to become an assassin. Her name is Azumi, the ultimate assassin.",$0.00,128,From The Ravages of War Raises An Assassin,Azumi
